date,clp,fitted_clp,res_fx,z_fx,y10_clp,fitted_y10_clp,res_y10,z_y10,stress_market,stress_market_30d,stress_fx_30d,stress_y10_30d,regime
2025-07-23,953.4,923.9871960786335,0.03133632828280677,0.7760150028576752,5.6,5.693002190073445,-0.09300219007344493,-0.15636443235153757,0.30982528525306885,0.06687675031343172,0.2134110106896753,-0.07965751006281185,Condiciones neutrales
2025-07-24,948.93,922.298387249515,0.028466232412772872,0.7049397500493183,5.6,5.70566788544723,-0.1056678854472307,-0.17765924558008106,0.2636402522346186,0.07390697452637869,0.23037995088098578,-0.0825660018282284,Condiciones neutrales
2025-07-25,951.27,922.3897041033138,0.030830127103067845,0.7634794018007643,5.6,5.676022222228143,-0.07602222222814316,-0.12781603976657543,0.31783168101709447,0.08217010202523141,0.2476654509407668,-0.083325246890304,Condiciones neutrales
2025-07-28,957.82,927.1639010366794,0.0325295109170853,0.8055630602112042,5.6,5.677574764633842,-0.07757476463384282,-0.13042632681225905,0.33756836669947254,0.0915588328302016,0.26801185155661167,-0.08489418589620852,Condiciones neutrales
2025-07-29,969.75,937.61156145926725,0.03370255666543157,0.8346124463275274,5.6,5.620743802506378,-0.020743802506378313,-0.03487652173739917,0.3998679622950641,0.11319823017999474,0.3096253757588819,-0.08322891539889243,Condiciones neutrales
2025-07-30,970.09,935.1240396139516,0.03670966751997068,0.9090807476970552,5.61,5.6471533401954614,-0.037153340195461175,-0.06246585101962694,0.4233074483387141,0.13033011956106585,0.341404637596939,-0.08074439847480729,Condiciones neutrales
2025-07-31,978.07,946.7108883522525,0.03258748767132596,0.8069988005666696,5.62,5.628679091436775,-0.008679091436774387,-0.014592142451339914,0.39620332905766487,0.15180334308952195,0.3814085747682911,-0.07780188858924723,Condiciones neutrales
2025-08-01,976.8,958.7710528628984,0.018629611698595255,0.4613449937418096,5.6,5.537255800252319,0.06274419974768077,0.10549172195998602,0.2834183578508978,0.1662357149900913,0.40344360483901703,-0.07097217485883446,Condiciones neutrales
2025-08-04,967.48,945.9457517150449,0.022509530358151054,0.5574275680150281,5.59,5.542579896052631,0.047420103947368814,0.07972734437679041,0.31857745619590927,0.18491465849160948,0.43452149528815953,-0.06469217830494055,Condiciones neutrales
2025-08-05,964.28,944.4074026503833,0.020824065217865735,0.5156885926044134,5.6,5.551603330730972,0.048396669269028074,0.08136924207892901,0.2985289173416712,0.19811399706821917,0.4553580446883661,-0.059130050551927785,Condiciones neutrales
2025-08-06,966.02,938.9769145088901,0.02839364421345016,0.7031421708563612,5.6,5.537729816800321,0.06227018319967862,0.10469475870143202,0.4039184647788966,0.20365733174488668,0.462751929427638,-0.05543726593786464,Condiciones neutrales
2025-08-07,976.42,937.2091737953652,0.04098632661768167,1.014988229645168,5.59,5.557670838968503,0.03232916103149772,0.05435496636261492,0.5346715980038914,0.21689934462158486,0.48770534696808215,-0.05390665772491243,Condiciones neutrales
2025-08-08,971.88,932.7926573338225,0.04104939612406486,1.0165500872672377,5.63,5.5516723595500945,0.07832764044990534,0.13169213570898383,0.5741211114881107,0.23263848935228276,0.5147944737225717,-0.049517495018006154,Condiciones neutrales
2025-08-11,965.64,937.9781128347911,0.029064479076883705,0.7197547718530783,5.63,5.560945730498387,0.06905426950161273,0.11610083207226395,0.41792780196267115,0.2452531650533316,0.5377298347823919,-0.0472235046757287,Condiciones neutrales
2025-08-12,969.77,932.9599436429506,0.038696662912410765,0.9582868391455096,5.609999999999999,5.529498361334193,0.08050163866580644,0.13534727540724448,0.5468170572763771,0.2583318676988736,0.5622953501973843,-0.04563161479963707,Condiciones neutrales
