date,cap_30_89,cap_90_1y,comercial_total,consumo_total,imacec,ipc,tpm,vivienda_uf,bcp_2y,bcp_5y,bcu_10y,bcu_5y,bcp_10y,comercial_cuotas,comercial_sobregiro,consumo_cuotas,consumo_tarj_cuota,consumo_tarj_rot
2003-08-01,0.23550000000000001,0.28500000000000003,5.7619530687841705,26.393194628091802,54.948693368022,47.61990066,2.75,4.91,5.014566666666667,6.077996126896127,3.9187402443786925,2.6999522437317354,NA,NA,NA,NA,NA,NA
2003-09-01,0.2325,0.28900000000000003,5.616898662677049,25.634104496130405,53.72211335704701,47.71022368,2.75,4.51,4.507429783163265,6.2523077905835205,4.2206875,3.002177549146459,NA,NA,NA,NA,NA,NA
2003-10-01,0.23086956521739133,0.2808695652173913,5.66609164819467,25.586665660393898,57.956402117919,47.63677004000001,2.75,4.63,4.182745107147281,5.883635535693847,4.080703678929766,3.1031248188405796,NA,NA,NA,NA,NA,NA
2003-11-01,0.229,0.2675,5.5822585222405605,26.7241156336288,58.266846088052,47.48923964,2.75,4.7700000000000005,3.5149573529411766,4.983201760543018,4.076339330694975,3.1569973039215675,NA,NA,NA,NA,NA,NA
2003-12-01,0.21100000000000002,0.248,5.500419600847049,25.238596757557698,60.624443844482,47.33825522000001,2.25,4.87,3.2558850727816253,4.598830869488361,4.298955986842105,3.2435210914564463,NA,NA,NA,NA,NA,NA
2004-01-01,0.16523809523809524,0.20761904761904762,6.107525472925269,25.1283072687516,56.95508419665699,47.25056575,1.75,4.99,2.9936201852920545,4.280653953669695,3.9846190476190473,2.963249594460592,NA,NA,NA,NA,NA,NA
2004-02-01,0.1405,0.1785,6.40767395650297,24.0644030660364,54.85665020271399,47.25633433000001,1.75,4.88,2.8683461966611623,4.243154961133811,3.8111349999999997,2.650652566667799,NA,NA,NA,NA,NA,NA
2004-03-01,0.14130434782608697,0.1682608695652174,6.943765162676541,21.074328980612602,61.862995629042,47.453597079999994,1.75,4.819999999999999,2.7121346493419956,4.1274474280956115,3.5310786293797736,2.3379484444472833,NA,NA,NA,NA,NA,NA
2004-04-01,0.14333333333333334,0.16952380952380952,6.63781168001208,22.850650731727498,60.637087338803,47.62558563000001,1.75,3.9899999999999998,2.7652380952380953,4.313570344157239,3.801288283658787,2.4763331359532033,NA,NA,NA,NA,NA,NA
2004-05-01,0.14400000000000002,0.1745,6.957271773254151,23.6838925222938,60.085063570148996,47.878162610000004,1.75,3.24,2.9823967010187156,4.677121770901183,3.744061471422054,2.209043455607096,NA,NA,NA,NA,NA,NA
2004-06-01,0.14550000000000002,0.186,7.251173654000101,24.202483071218797,58.54186924434299,48.08488723999999,1.75,3.2600000000000002,3.075279763066413,4.380842744035234,3.8035626477146045,2.3679880824963253,NA,NA,NA,NA,NA,NA
2004-07-01,0.14727272727272728,0.1890909090909091,6.93135681855289,23.5394367165566,57.99110585077901,48.19610035000001,1.75,3.3299999999999996,3.1150350899488424,4.646921830904066,3.6660278093516756,2.3413592330741704,6.4318,NA,NA,NA,NA,NA
2004-08-01,0.1431818181818182,0.18363636363636363,6.97216224426955,23.216214906254002,59.147606140564,48.37971246,1.75,3.4699999999999998,3.1375860406986877,4.876024381024381,3.1685042780748662,1.990932206922774,6.305195534929287,NA,NA,NA,NA,NA
2004-09-01,0.16,0.19904761904761906,6.469533122991801,22.861507698062198,57.83375553724299,48.407721669999994,2,3.58,3.46287558335234,4.9699892871999936,3.275639682539682,2.2732207387813372,6.180492852891347,NA,NA,NA,NA,NA
2004-10-01,0.171,0.21750000000000003,6.518156635672949,22.9466774132023,62.943605435077,48.54807851,2,3.54,4.201241106316204,5.47835307523163,3.2538836842105265,2.3641457936507932,6.568444642857142,NA,NA,NA,NA,NA
2004-11-01,0.19,0.22571428571428573,7.04053758551161,23.477055512909,63.373358052551005,48.66840218000001,2.25,3.61,4.0718126297821415,5.101400354676272,3.2121666666666666,2.437363703537841,6.190103113554774,NA,NA,NA,NA,NA
2004-12-01,0.22714285714285715,0.27666666666666667,7.113268429346,23.400927865954,66.085423779699,48.48432672,2.25,3.94,4.116437708496395,4.8592402731307285,3.2602454081632652,2.5642377681249267,6.005717141277089,NA,NA,NA,NA,NA
2005-01-01,0.23238095238095238,0.2880952380952381,7.390236142823521,24.986031757624097,60.997060204058,48.33156408999999,2.5,4.04,3.9903059755219576,4.892319597243921,3.156423888888888,2.497073436448773,5.971417540632633,NA,NA,NA,NA,NA
2005-02-01,0.24200000000000002,0.295,7.857201195596801,26.287222915963792,58.26891970198801,48.287271940000004,2.75,4.28,4.121654366906431,4.907047342931697,2.9045422257347915,2.2724650133153936,5.9146708374384245,NA,NA,NA,NA,NA
2005-03-01,0.2509090909090909,0.3113636363636364,8.19158046328748,23.615629008784598,65.160412346315,48.594317800000006,2.75,4.3,4.5502730463681464,5.136151970093433,2.8051323182387,2.1396583598217958,6.035297956790173,NA,NA,NA,NA,NA
2005-04-01,0.27952380952380956,0.3280952380952381,8.192430171044412,25.3299762540978,64.37545096138,49.03075468,3,4.35,4.622210813557625,5.389838888575559,2.6309410020466415,2.0751387704573685,6.086962543557007,NA,NA,NA,NA,NA
2005-05-01,0.3295238095238095,0.3919047619047619,8.808622539444363,26.1973593839363,63.30028316944799,49.16302022000001,3.25,4.430000000000001,4.722706626063303,5.30611137266149,2.3925396001007284,2.084497378847379,5.878546733048363,NA,NA,NA,NA,NA
2005-06-01,0.3333333333333333,0.37238095238095237,8.739999747007069,26.613793636474,62.240974281921005,49.36402821,3.25,4.44,4.689661197513123,5.1387863984373885,2.3330429674548423,1.968823393339716,5.693606586277964,NA,NA,NA,NA,NA
2005-07-01,0.32,0.36857142857142855,9.18402803525509,26.314127717186803,60.627780191039996,49.668388490000005,3.5,4.38,4.773580938362972,5.325941069500371,2.395678588102531,1.9553454043587366,5.804016599008568,NA,NA,NA,NA,NA
