date,tpm,bcp_2y,bcp_5y,bcu_10y,bcu_5y,bcp_10y,dtpm,dtpm_up,dtpm_down,dtpm_pos,dtpm_neg,dbcp_2y,dbcp_5y,dbcp_10y,dbcu_5y,dbcu_10y,product,rate,drate,spread_tpm
2013-07-01,5,4.891573177670212,5.181704624872146,2.2807518563952915,2.233943408872828,5.294773233217689,0,0,-0,0,0,-0.004914563051840126,-0.01977853939289176,0.018910302529501877,-0.030311839792720008,-0.057098348522804265,cap_90_1y,0.44422529633709545,0.009769010888165397,-4.555774703662904
2013-08-01,5,4.894505668733349,5.142714147129204,2.2690639892300175,2.2031590508182424,5.269818735438747,0,0,-0,0,0,0.002932491063137199,-0.038990477742942176,-0.024954497778941764,-0.03078435805458568,-0.011687867165274035,cap_90_1y,0.4438095238095238,-4.1577252757163397e-4,-4.556190476190476
2013-09-01,5,5.007241638076198,5.161713337833305,2.2765790508640356,2.206791294901628,5.266206208177777,0,0,-0,0,0,0.11273596934284846,0.018999190704101387,-0.0036125272609703885,0.003632244083385583,0.00751506163401805,cap_90_1y,0.44833333333333336,0.004523809523809541,-4.551666666666667
2013-10-01,4.75,4.78615417513832,4.961627028353799,2.2535003841075008,2.219117456324298,5.159537956198652,-0.25,0,0.25,0,-0.25,-0.22108746293787807,-0.2000863094795058,-0.10666825197912466,0.012326161422670179,-0.023078666756534805,cap_90_1y,0.43772727272727274,-0.010606060606060619,-4.3122727272727275
2013-11-01,4.5,4.487960101109754,4.643741310345022,2.130255969880053,2.023922703523974,4.964596417034052,-0.25,0,0.25,0,-0.25,-0.298194074028566,-0.3178857180087773,-0.1949415391646001,-0.19519475280032417,-0.12324441422744759,cap_90_1y,0.3995,-0.03822727272727272,-4.1005
2013-12-01,4.5,4.590431209586155,4.84736365437894,2.140430680485029,2.026216137783112,5.138932327928903,0,0,-0,0,0,0.10247110847640162,0.203622344033918,0.17433591089485123,0.002293434259137861,0.010174710604975878,cap_90_1y,0.3955,-0.0040000000000000036,-4.1045
2014-01-01,4.5,4.436314178917251,4.7542081727796015,2.0856442416283687,1.9168096452024963,5.056941943257618,0,0,-0,0,0,-0.15411703066890414,-0.09315548159933851,-0.08199038467128528,-0.10940649258061552,-0.05478643885666035,cap_90_1y,0.37636363636363634,-0.019136363636363674,-4.123636363636364
2014-02-01,4.25,4.330260460104887,4.829706051063567,2.0422119284329425,1.8283447269982636,5,-0.25,0,0.25,0,-0.25,-0.10605371881236447,0.07549787828396592,-0.05694194325761792,-0.08846491820423275,-0.043432313195426175,cap_90_1y,0.37100154347783687,-0.005362092885799474,-3.8789984565221634
2014-03-01,4,4.152606238066981,4.859656956998413,1.9914897725653091,1.7052141581939477,5.018711929270386,-0.25,0,0.25,0,-0.25,-0.17765422203790582,0.02995090593484573,0.018711929270385674,-0.12313056880431583,-0.0507221558676334,cap_90_1y,0.3419126316384395,-0.02908891183939738,-3.6580873683615605
2014-04-01,4,3.9170669119804296,4.721341673746829,1.885104271108532,1.6791602798875547,4.914359960899845,0,0,-0,0,0,-0.23553932608655126,-0.13831528325158438,-0.1043519683705405,-0.026053878306393052,-0.10638550145677717,cap_90_1y,0.32678937272284736,-0.01512325891559213,-3.6732106272771525
