horizon,beta_signed,beta,type,reported_scale,cumulative,product,spec
0,0.024281551554403556,0.024281551554403556,alza_tpm,signed,0.024281551554403556,consumo_tarj_cuota,macro
1,-0.2176600417100786,-0.2176600417100786,alza_tpm,signed,-0.19337849015567504,consumo_tarj_cuota,macro
2,1.3169693938751408,1.3169693938751408,alza_tpm,signed,1.1235909037194658,consumo_tarj_cuota,macro
3,0.6123106021670723,0.6123106021670723,alza_tpm,signed,1.7359015058865381,consumo_tarj_cuota,macro
4,-0.5695631562957242,-0.5695631562957242,alza_tpm,signed,1.166338349590814,consumo_tarj_cuota,macro
5,-0.7664698986452018,-0.7664698986452018,alza_tpm,signed,0.39986845094561213,consumo_tarj_cuota,macro
6,-0.5598993539667415,-0.5598993539667415,alza_tpm,signed,-0.16003090302112938,consumo_tarj_cuota,macro
0,-0.3991868651230833,0.3991868651230833,baja_tpm,magnitude_expected_direction,0.3991868651230833,consumo_tarj_cuota,macro
1,0.05706805175358093,-0.05706805175358093,baja_tpm,magnitude_expected_direction,0.3421188133695024,consumo_tarj_cuota,macro
2,-0.0813963497735891,0.0813963497735891,baja_tpm,magnitude_expected_direction,0.4235151631430915,consumo_tarj_cuota,macro
3,-0.2479302489039236,0.2479302489039236,baja_tpm,magnitude_expected_direction,0.6714454120470151,consumo_tarj_cuota,macro
4,-0.3479378734925286,0.3479378734925286,baja_tpm,magnitude_expected_direction,1.0193832855395437,consumo_tarj_cuota,macro
5,0.1906068120123088,-0.1906068120123088,baja_tpm,magnitude_expected_direction,0.8287764735272348,consumo_tarj_cuota,macro
6,-0.17902297627852415,0.17902297627852415,baja_tpm,magnitude_expected_direction,1.007799449805759,consumo_tarj_cuota,macro
0,0.3457499361131366,0.3457499361131366,alza_tpm,signed,0.3457499361131366,consumo_tarj_rot,macro
1,0.588926360841511,0.588926360841511,alza_tpm,signed,0.9346762969546476,consumo_tarj_rot,macro
2,0.3652912720971276,0.3652912720971276,alza_tpm,signed,1.2999675690517751,consumo_tarj_rot,macro
3,0.10625964192154004,0.10625964192154004,alza_tpm,signed,1.4062272109733152,consumo_tarj_rot,macro
4,-0.13145690478561287,-0.13145690478561287,alza_tpm,signed,1.2747703061877023,consumo_tarj_rot,macro
5,-0.20842543971384528,-0.20842543971384528,alza_tpm,signed,1.066344866473857,consumo_tarj_rot,macro
6,-0.18617049301646324,-0.18617049301646324,alza_tpm,signed,0.8801743734573938,consumo_tarj_rot,macro
0,0.18267932311251045,-0.18267932311251045,baja_tpm,magnitude_expected_direction,-0.18267932311251045,consumo_tarj_rot,macro
1,0.06268520903653807,-0.06268520903653807,baja_tpm,magnitude_expected_direction,-0.24536453214904852,consumo_tarj_rot,macro
2,-0.4974084632997374,0.4974084632997374,baja_tpm,magnitude_expected_direction,0.2520439311506889,consumo_tarj_rot,macro
3,-0.6402173805061552,0.6402173805061552,baja_tpm,magnitude_expected_direction,0.8922613116568441,consumo_tarj_rot,macro
4,0.23072907101440912,-0.23072907101440912,baja_tpm,magnitude_expected_direction,0.661532240642435,consumo_tarj_rot,macro
5,-0.19314293531452098,0.19314293531452098,baja_tpm,magnitude_expected_direction,0.854675175956956,consumo_tarj_rot,macro
6,-0.09615641193520653,0.09615641193520653,baja_tpm,magnitude_expected_direction,0.9508315878921625,consumo_tarj_rot,macro
0,0.35785250359931325,0.35785250359931325,alza_tpm,signed,0.35785250359931325,consumo_total,macro
1,0.3566587625095508,0.3566587625095508,alza_tpm,signed,0.7145112661088641,consumo_total,macro
2,0.41504044982907307,0.41504044982907307,alza_tpm,signed,1.1295517159379371,consumo_total,macro
3,0.34785593668524517,0.34785593668524517,alza_tpm,signed,1.4774076526231823,consumo_total,macro
4,-0.20197208798211452,-0.20197208798211452,alza_tpm,signed,1.2754355646410678,consumo_total,macro
5,-0.3918136146767099,-0.3918136146767099,alza_tpm,signed,0.8836219499643578,consumo_total,macro
6,-0.20710941920120543,-0.20710941920120543,alza_tpm,signed,0.6765125307631524,consumo_total,macro
0,-0.11652289870345676,0.11652289870345676,baja_tpm,magnitude_expected_direction,0.11652289870345676,consumo_total,macro
1,-0.8151769209226701,0.8151769209226701,baja_tpm,magnitude_expected_direction,0.9316998196261269,consumo_total,macro
2,-0.4524690581116001,0.4524690581116001,baja_tpm,magnitude_expected_direction,1.384168877737727,consumo_total,macro
3,0.020670544542865654,-0.020670544542865654,baja_tpm,magnitude_expected_direction,1.3634983331948614,consumo_total,macro
4,0.0878596003188611,-0.0878596003188611,baja_tpm,magnitude_expected_direction,1.2756387328760002,consumo_total,macro
5,-0.3583812833859803,0.3583812833859803,baja_tpm,magnitude_expected_direction,1.6340200162619805,consumo_total,macro
6,0.10723123353758501,-0.10723123353758501,baja_tpm,magnitude_expected_direction,1.5267887827243956,consumo_total,macro
0,0.025973183473295275,0.025973183473295275,alza_tpm,signed,0.025973183473295275,vivienda_uf,macro
1,0.07465721639480209,0.07465721639480209,alza_tpm,signed,0.10063039986809737,vivienda_uf,macro
2,-0.012264866948872922,-0.012264866948872922,alza_tpm,signed,0.08836553291922444,vivienda_uf,macro
3,0.01375376533798854,0.01375376533798854,alza_tpm,signed,0.10211929825721298,vivienda_uf,macro
