product,horizon,estimate,std_error,conf_low,conf_high,spec
comercial_sobregiro,11,3.8663135775672575,0.615634957310446,2.659669061238783,5.072958093895732,base
comercial_sobregiro,12,3.8598089273056337,0.5827729636586397,2.7175739185346997,5.002043936076568,base
comercial_total,0,0.43661521072586656,0.12285167360914093,0.19582593045195035,0.6774044909997827,base
comercial_total,1,1.0037511213103683,0.13845416181672449,0.7323809641495882,1.2751212784711483,base
comercial_total,2,1.4950187798210037,0.21247797658355394,1.078561945717238,1.9114756139247695,base
comercial_total,3,1.7205469785996288,0.26039190383854144,1.2101788470760875,2.23091511012317,base
comercial_total,4,2.0104753964257758,0.28914101344925996,1.4437590100652262,2.5771917827863255,base
comercial_total,5,2.3072169886444542,0.32773087580362376,1.6648644720693517,2.9495695052195567,base
comercial_total,6,2.5272815035470764,0.3705015330860312,1.8010984986984553,3.2534645083956972,base
comercial_total,7,2.6290328887097516,0.3968281926200009,1.8512496311745499,3.406816146244953,base
comercial_total,8,2.7204404425000424,0.3713352457387713,1.9926233608520505,3.448257524148034,base
comercial_total,9,3.092099113228998,0.40405771480187774,2.3001459922173177,3.884052234240678,base
comercial_total,10,2.9404987252201513,0.40884591811686555,2.1391607257110947,3.741836724729208,base
comercial_total,11,3.008141483997675,0.3824909640508224,2.258459194458063,3.757823773537287,base
comercial_total,12,3.2486078973891552,0.3711401918237904,2.521173121414526,3.9760426733637844,base
consumo_cuotas,0,0.4430709887277303,0.1187558283342308,0.21030956519263794,0.6758324122628228,base
consumo_cuotas,1,0.9910306453153758,0.2612668897564229,0.47894754139278684,1.5031137492379647,base
consumo_cuotas,2,0.858678918203707,0.22077846165062653,0.425953133368479,1.291404703038935,base
consumo_cuotas,3,1.0889598440808845,0.2681430740603482,0.563399418922602,1.6145202692391671,base
consumo_cuotas,4,1.1567288343463706,0.35804563327607103,0.45495939312527145,1.8584982755674697,base
consumo_cuotas,5,1.2776776703915926,0.39085485355248556,0.511602157428721,2.043753183354464,base
consumo_cuotas,6,1.532980976835556,0.4236703344437136,0.7025871213258773,2.363374832345235,base
consumo_cuotas,7,1.7392624708452245,0.4648185481894962,0.8282181163938119,2.650306825296637,base
consumo_cuotas,8,1.8601021390815715,0.48897626138831796,0.9017086667604683,2.8184956114026747,base
consumo_cuotas,9,1.8277583200015532,0.5369018460686091,0.7754307017070794,2.880085938296027,base
consumo_cuotas,10,1.9773111991864123,0.518960787158913,0.9601480563549427,2.994474342017882,base
consumo_cuotas,11,1.992767470426117,0.5686925834467356,0.8781300068705151,3.1074049339817185,base
consumo_cuotas,12,2.084557815918776,0.5321486620189912,1.0415464383615531,3.1275691934759986,base
consumo_tarj_cuota,0,0.4380511347717209,0.2857162418115645,-0.12195269917894552,0.9980549687223874,base
consumo_tarj_cuota,1,0.45801683262149384,0.5059834669454839,-0.5337107625916546,1.4497444278346423,base
consumo_tarj_cuota,2,1.1848628448638872,0.5222268305683619,0.16129825694989774,2.2084274327778766,base
consumo_tarj_cuota,3,1.1647442855767967,0.4702518774476696,0.24305060577936421,2.086437965374229,base
consumo_tarj_cuota,4,1.3650275339778994,0.3479275205194424,0.6830895937597923,2.0469654741960066,base
consumo_tarj_cuota,5,1.6675523885334655,0.4118899604192243,0.8602480661117858,2.4748567109551454,base
consumo_tarj_cuota,6,1.5872715288201076,0.41441248968720495,0.7750230490331859,2.399520008607029,base
consumo_tarj_cuota,7,1.5672933516820682,0.4724727951251181,0.6412466732368367,2.4933400301272997,base
consumo_tarj_cuota,8,1.9981611043761356,0.434402827399923,1.1467315626722865,2.8495906460799847,base
consumo_tarj_cuota,9,1.407812368667669,0.5294233806066291,0.37014254267867597,2.4454821946566616,base
consumo_tarj_cuota,10,2.180865878925794,0.5685617518077968,1.0664848453825124,3.295246912469076,base
consumo_tarj_cuota,11,2.08219177975447,0.5398087277397631,1.0241666733845343,3.1402168861244055,base
consumo_tarj_cuota,12,2.0085690194017474,0.5572074787212857,0.9164423611080275,3.1006956776954673,base
consumo_tarj_rot,0,0.1746670279897292,0.11555471499567434,-0.05182021340179252,0.40115426938125087,base
consumo_tarj_rot,1,0.3879769592467979,0.23673070109070632,-0.07601521489098645,0.8519691333845822,base
consumo_tarj_rot,2,0.7804913238721055,0.2506387885742301,0.2892392982666145,1.2717433494775965,base
consumo_tarj_rot,3,1.1246051908686034,0.24980576046014805,0.6349859003667133,1.6142244813704936,base
consumo_tarj_rot,4,1.2807426758032514,0.3727318623662353,0.5501882255654302,2.0112971260410726,base
consumo_tarj_rot,5,1.7373599907747803,0.36575819291497336,1.0204739326614325,2.454246048888128,base
consumo_tarj_rot,6,1.9127867019022444,0.4433407886960484,1.0438387560579896,2.7817346477464993,base
consumo_tarj_rot,7,2.0908679089843565,0.5315581740459063,1.04901388785438,3.132721930114333,base
consumo_tarj_rot,8,2.290862518793025,0.6062459685322567,1.1026204204698022,3.4791046171162483,base
consumo_tarj_rot,9,2.5656534285548753,0.670262979160037,1.2519379894012028,3.879368867708548,base
consumo_tarj_rot,10,2.7677439263397368,0.7077977489828255,1.3804603383333987,4.155027514346075,base
consumo_tarj_rot,11,2.9552427372515155,0.744572644115584,1.4958803547849708,4.41460511971806,base
consumo_tarj_rot,12,2.967765771040941,0.7270122817818618,1.5428216987484917,4.39270984333339,base
consumo_total,0,0.23735452381910827,0.10534318353457824,0.030881884091334938,0.44382716354688156,base
